transaction_id,complaint_id,from_account,to_account,amount,hop_number,timestamp
T000000001,C0000001,VICTIM_V0000001,ACC000251,67300,1,2026-01-01T09:04:03.156214
T000000002,C0000001,ACC000251,ACC000253,58684,2,2026-01-01T09:24:27.263150
T000000003,C0000001,ACC000251,ACC000254,7216,2,2026-01-01T09:24:27.263150
T000000004,C0000001,ACC000253,ACC000252,58200,3,2026-01-01T09:47:45.337697
T000000005,C0000001,ACC000254,ACC000252,7000,3,2026-01-01T09:40:34.793474
T000000006,C0000002,VICTIM_V0000002,ACC000002,16700,1,2026-01-01T09:04:27.994388
T000000007,C0000002,ACC000002,ACC000003,5823,2,2026-01-01T09:24:33.260732
T000000008,C0000002,ACC000002,ACC000001,10177,2,2026-01-01T09:24:33.260732
T000000009,C0000002,ACC000003,ACC000003,5800,3,2026-01-01T09:33:34.989846
T000000010,C0000002,ACC000001,ACC000003,10100,3,2026-01-01T09:38:08.817853
T000000011,C0000003,VICTIM_V0000003,ACC000003,31500,1,2026-01-01T09:04:48.940079
T000000012,C0000003,ACC000003,ACC000001,8977,2,2026-01-01T09:13:56.309673
T000000013,C0000003,ACC000003,ACC000002,21823,2,2026-01-01T09:13:56.309673
T000000014,C0000003,ACC000001,ACC000003,8900,3,2026-01-01T09:29:19.158167
T000000015,C0000003,ACC000002,ACC000003,21300,3,2026-01-01T09:30:11.158881
T000000016,C0000004,VICTIM_V0000004,ACC001116,37800,1,2026-01-01T09:04:08.359571
T000000017,C0000004,ACC001116,ACC001117,16127,2,2026-01-01T09:12:04.434827
T000000018,C0000004,ACC001116,ACC001118,20273,2,2026-01-01T09:12:04.434827
T000000019,C0000004,ACC001117,ACC001118,15800,3,2026-01-01T09:19:53.301148
T000000020,C0000004,ACC001118,ACC001118,35600,3,2026-01-01T09:31:02.351483
T000000021,C0000005,VICTIM_V0000005,ACC001249,21800,1,2026-01-01T09:02:56.450948
T000000022,C0000005,ACC001249,ACC001251,12705,2,2026-01-01T09:22:17.043221
T000000023,C0000005,ACC001249,ACC001250,8495,2,2026-01-01T09:22:17.043221
T000000024,C0000005,ACC001251,ACC001251,12600,3,2026-01-01T09:40:25.849838
T000000025,C0000005,ACC001250,ACC001251,8400,3,2026-01-01T09:34:54.221469
T000000026,C0000006,VICTIM_V0000006,ACC000106,619300,1,2026-01-01T09:03:50.563968
T000000027,C0000006,ACC000106,ACC000110,603200,2,2026-01-01T09:27:35.427187
T000000028,C0000006,ACC000110,ACC000111,588000,3,2026-01-01T09:39:44.003830
T000000029,C0000007,VICTIM_V0000007,ACC000022,16100,1,2026-01-01T09:03:39.330585
T000000030,C0000007,ACC000022,ACC000026,16000,2,2026-01-01T09:30:18.030326
T000000031,C0000007,ACC000026,ACC000023,15500,3,2026-01-01T09:54:26.230477
T000000032,C0000007,ACC000023,ACC000024,4236,4,2026-01-01T10:06:36.367571
T000000033,C0000007,ACC000023,ACC000029,6001,4,2026-01-01T10:06:36.367571
T000000034,C0000007,ACC000023,ACC000028,4863,4,2026-01-01T10:06:36.367571
T000000035,C0000007,ACC000024,ACC000025,4100,5,2026-01-01T10:32:49.252780
T000000036,C0000007,ACC000029,ACC000025,5900,5,2026-01-01T10:27:25.500001
T000000037,C0000007,ACC000028,ACC000025,4700,5,2026-01-01T10:31:33.576823
T000000038,C0000008,VICTIM_V0000008,ACC000015,98900,1,2026-01-01T09:03:27.914928
T000000039,C0000008,ACC000015,ACC000007,35564,2,2026-01-01T09:19:53.919254
T000000040,C0000008,ACC000015,ACC000017,9823,2,2026-01-01T09:19:53.919254
T000000041,C0000008,ACC000015,ACC000009,52214,2,2026-01-01T09:19:53.919254
T000000042,C0000008,ACC000007,ACC000014,35100,3,2026-01-01T09:32:12.896289
T000000043,C0000008,ACC000017,ACC000014,9500,3,2026-01-01T09:27:35.068780
T000000044,C0000008,ACC000009,ACC000014,50300,3,2026-01-01T09:31:33.757421
T000000045,C0000008,ACC000014,ACC000010,93600,4,2026-01-01T09:57:47.969140
T000000046,C0000009,VICTIM_V0000009,ACC001664,1637000,1,2026-01-01T09:03:01.647559
T000000047,C0000009,ACC001664,ACC001663,1057624,2,2026-01-01T09:28:22.947180
T000000048,C0000009,ACC001664,ACC001662,564176,2,2026-01-01T09:28:22.947180
T000000049,C0000009,ACC001663,ACC001664,1040100,3,2026-01-01T09:35:26.677572
T000000050,C0000009,ACC001662,ACC001664,561000,3,2026-01-01T09:44:18.068033
T000000051,C0000010,VICTIM_V0000010,ACC000001,85500,1,2026-01-01T09:02:44.001312
T000000052,C0000010,ACC000001,ACC000002,39840,2,2026-01-01T09:20:46.772477
T000000053,C0000010,ACC000001,ACC000003,43060,2,2026-01-01T09:20:46.772477
T000000054,C0000010,ACC000002,ACC000003,38800,3,2026-01-01T09:48:58.353616
T000000055,C0000010,ACC000003,ACC000003,78700,3,2026-01-01T09:46:01.902865
T000000056,C0000011,VICTIM_V0000011,ACC000701,248000,1,2026-01-01T09:03:53.257272
T000000057,C0000011,ACC000701,ACC000700,245000,2,2026-01-01T09:27:08.603286
T000000058,C0000011,ACC000700,ACC000699,238800,3,2026-01-01T09:44:42.527550
T000000059,C0000012,VICTIM_V0000012,ACC000001,6900,1,2026-01-01T09:03:27.809676
T000000060,C0000012,ACC000001,ACC000003,2010,2,2026-01-01T09:12:36.440433
T000000061,C0000012,ACC000001,ACC000002,4790,2,2026-01-01T09:12:36.440433
T000000062,C0000012,ACC000003,ACC000003,2000,3,2026-01-01T09:28:56.513938
T000000063,C0000012,ACC000002,ACC000003,4600,3,2026-01-01T09:20:24.720417
T000000064,C0000013,VICTIM_V0000013,ACC000122,9800,1,2026-01-01T09:04:05.251853
T000000065,C0000013,ACC000122,ACC000120,4686,2,2026-01-01T09:10:44.414088
T000000066,C0000013,ACC000122,ACC000121,5014,2,2026-01-01T09:10:44.414088
